checklist_id;count;latitude.x;longitude.x;julian_date;year;minutes_since_dawn;duration;data_source;DistanceToRiver;CanopyCover_165;ConiferCover_165;HardwoodCover_165;ShrubCover_165;OakCover_165;DiameterDiversityIndex_165;TreeBasalArea_165;DensityLiveTrees_165;CompoundTopographicIndex_mean165;Elevation_mean165;Slope_mean165;TemperateFreshwaterMeadowMarsh_165;CultivatedCropland_165;PastureHay_165;WoodyAgriculture_165;TemperateGrasslandShrublandMeadow_165;TemperateForest_165;DevelopedOpenSpace_165;DevelopedLowIntensity_165;DevelopedMediumIntensity_165;DevelopedHighIntensity_165;UplandPrairieSavannah_165;WetPrairie_165;Oaks_165;CanopyCover_315;ConiferCover_315;HardwoodCover_315;ShrubCover_315;OakCover_315;DiameterDiversityIndex_315;TreeBasalArea_315;DensityLiveTrees_315;CompoundTopographicIndex_mean315;Elevation_mean315;Slope_mean315;TemperateFreshwaterMeadowMarsh_315;CultivatedCropland_315;PastureHay_315;WoodyAgriculture_315;TemperateGrasslandShrublandMeadow_315;TemperateForest_315;DevelopedOpenSpace_315;DevelopedLowIntensity_315;DevelopedMediumIntensity_315;DevelopedHighIntensity_315;UplandPrairieSavannah_315;WetPrairie_315;Oaks_315
45.028091_-123.465322_173_13_237.25_ebird;1;45.028091;-123.465322;173;13;237.25;8;ebird;152.9705811;17.81891251;16.46889877;4.33646059;6.63337183;0.73461324;0.71883142;7.16528511;222.925705;7.106928825;579.3005371;4.317171574;0;4.132231236;33.05784988;28.0991745;0;25.6198349;9.090909004;0;0;0;0;0;5.785123825;12.61000919;11.02387619;3.938930035;6.589376926;1.863480091;0.697506547;6.449889183;125.2735748;7.436704636;568.2307739;5.064282894;0;14.7392292;30.61224556;32.65306091;0;18.14058876;3.854875326;0;0;0;0;0;6.575963497
45.028431_-123.21661_173_13_347.25_ebird;2;45.028431;-123.21661;173;13;347.25;12;ebird;201.2461243;1.964770198;0.206023142;1.82318759;1.67249012;2.286458731;0.137244627;0.869838834;22.43814659;8.343475342;181.5689087;1.747299671;0;53.7190094;37.19008255;3.305785179;0;5.785123825;0;0;0;0;0;0;4.958677769;0.739044905;0.251986384;0.532840133;0.503109515;0.62735033;0.04445941;0.334905207;10.04685783;8.467950821;181.4293518;1.515059829;3.174603224;55.32879639;32.42630386;2.040816307;0;1.8140589;0.680272102;4.53514719;0;0;0;3.174603224;1.587301612
45.026231_-123.326275_173_13_281.8_ebird;1;45.026231;-123.326275;173;13;281.8;6;ebird;120;0;0;0;0;0;0;0;0;10.89489079;174.8933716;0.24257423;0;64.4628067;8.264462471;7.438016415;0;0;0;19.83471107;0;0;0;0;0;0;0;0;0;0;0;0;0;10.66814232;175.1029663;0.288609356;0;73.24263;11.11111069;6.575963497;0;0;0;7.482993126;0;0;0;0;0
45.026163_-123.295655_142_14_335.33_ebird;0;45.026163;-123.295655;142;14;335.33;13;ebird;254.5584412;1.064227223;0.134103298;0.930123925;1.265702486;1.053664446;0.075017355;0.506049573;9.037784576;6.97469759;287.6333313;5.316145897;0;0;75.20661163;4.958677769;0.826446295;3.305785179;5.785123825;9.917355537;0;0;0.826446295;0;3.305785179;0.365588427;0.110384353;0.255204082;0.628458023;0.289100677;0.02674127;0.185624495;2.535741329;7.030275345;280.6224365;6.256317139;0;7.709750652;81.17913818;2.267573595;0.226757362;1.133786798;2.494331121;4.988662243;0;0;0.226757362;0;1.133786798
45.026599_-123.151772_146_17_390.17_ebird;2;45.026599;-123.151772;146;17;390.17;3;ebird;450;23.12441063;10.35040188;17.05380821;24.35973167;3.944958687;1.262416601;8.984508514;353.4106445;6.664966106;417.8929749;7.954086304;0;0;38.84297562;0.826446295;0;42.14876175;15.70247936;2.479338884;0;0;0;0;42.14876175;15.32963848;5.28518486;12.10714149;18.3960743;3.807169199;0.74260819;4.532319069;274.0914001;6.661614895;403.8503418;7.926941395;0;0;52.83446884;2.040816307;0.90702945;32.19954681;8.390022278;3.6281178;0;0;0.90702945;0;31.74603081
45.02459_-123.470025_173_13_193.2_ebird;1;45.02459;-123.470025;173;13;193.2;8;ebird;42.42640686;0.837219;0.560361981;0.276857018;1.43597436;0.337159485;0.045576032;0.18219918;15.09015656;6.977253437;583.9187622;6.000975609;0;0;77.68595123;2.479338884;6.611570358;3.305785179;9.917355537;0;0;0;6.611570358;0;3.305785179;1.00603807;0.729136944;0.293598861;1.769248962;0.305395216;0.0530288;0.237027675;16.35395622;7.777380466;586.1248779;4.916954517;0;7.02947855;70.97505951;1.8140589;7.936507702;7.482993126;4.761904716;0;0;0;7.936507702;0;6.575963497
45.0248021_-123.4678343_173_13_210.22_ebird;2;45.0248021;-123.4678343;173;13;210.22;6;ebird;108.1665421;0;0;0;0;0;0;0;0;7.535654068;597.1365356;5.43033123;0;0;90.0826416;0.826446295;0;0;9.090909004;0;0;0;0;0;0;5.041772366;3.239965439;3.087239265;4.101467133;2.082571507;0.373432875;2.33361578;57.75793076;7.458239555;603.8262939;4.737227917;0;0;70.06802368;9.523809433;2.494331121;12.01814079;5.895691395;0;0;0;2.494331121;0;11.79138279
45.0250148_-123.4653962_173_13_221.23_ebird;2;45.0250148;-123.4653962;173;13;221.23;7;ebird;67.08203888;3.09871912;1.801833868;2.160828114;3.630618095;1.903213263;0.250525624;1.442184329;38.9597168;7.510690212;616.8044434;4.580255032;0;0;52.89256287;24.79338837;0;13.22314072;9.090909004;0;0;0;0;0;13.22314072;8.210046768;5.042020798;5.116784096;4.926580906;2.791503668;0.556335151;3.533397436;102.930687;7.348604679;615.0213623;5.070431709;0;7.936507702;54.42176819;16.09977341;0;14.7392292;6.122448921;0.680272102;0;0;0;0;14.7392292
45.025103_-123.4621829_173_13_251.25_ebird;1;45.025103;-123.4621829;173;13;251.25;6;ebird;216.3330841;2.366772652;1.144889235;1.795138836;3.330509186;1.535906672;0.200938851;0.908176839;30.80333138;6.859815598;640.2706299;5.165167332;0;15.70247936;23.1404953;38.84297562;0;9.917355537;6.611570358;5.785123825;0;0;0;0;9.917355537;9.05173111;5.386393547;5.726730824;5.631705761;3.169191122;0.607363701;3.857777596;112.8056641;6.95847559;619.706543;5.719185829;0;12.24489784;33.10657501;28.1179142;0;19.04761887;5.895691395;1.587301612;0;0;0;0;18.82086182
45.0254945_-123.3150101_173_13_292.83_ebird;2;45.0254945;-123.3150101;173;13;292.83;6;ebird;134.1640778;0;0;0;0;0;0;0;0;8.514685631;177.6478729;1.558138847;2.479338884;45.45454407;38.84297562;1.65289259;0;0;0;7.438016415;4.132231236;0;0;2.479338884;0;1.779250741;0.107825167;1.671425581;1.894689798;1.656517386;0.099669844;0.720185697;37.80596542;9.227818489;178.5365295;1.378300786;0.90702945;52.60770798;32.87981796;3.401360512;0;4.53514719;0;4.308390141;1.360544205;0;0;0.90702945;0.680272102
45.022309_-123.418941_130_15_349.42_ebird;2;45.022309;-123.418941;130;15;349.42;25;ebird;60;22.83471298;9.754235268;14.64775562;21.76007271;15.35459137;1.474952936;7.586819649;350.7585754;8.649632454;362.0725708;3.912537336;0;0;1.65289259;0;20.66115761;65.28925323;6.611570358;5.785123825;0;0;20.66115761;0;25.6198349;14.20573425;6.773614407;8.633078575;14.72124767;9.063479424;0.901150107;5.272791386;210.42276;8.378583908;385.0846252;4.809065819;1.8140589;1.133786798;20.63492012;1.133786798;15.8730154;44.44444275;5.895691395;9.07029438;0;0;15.8730154;1.8140589;26.07709694
45.02184_-123.17376_173_13_219.37_ebird;1;45.02184;-123.17376;173;13;219.37;5;ebird;30;49.51631927;24.05165482;34.2257309;47.63816833;11.04545403;3.012620687;22.89639664;669.8527832;6.886332035;374.5023804;10.63728619;0;0;15.70247936;0;1.65289259;82.64463043;0;0;0;0;1.65289259;0;66.9421463;43.31198883;24.31188011;26.90222168;42.91491699;8.635688782;2.710571051;20.13644791;538.2119141;6.453478813;401.3817749;10.77090073;0.226757362;0;26.07709694;0.90702945;0.90702945;71.88208771;0;0;0;0;0.90702945;0.226757362;50.11338043
45.02193_-123.145599_146_17_358.17_ebird;0;45.02193;-123.145599;146;17;358.17;3;ebird;169.7056274;2.912690163;0.355843782;2.638062;4.009472847;2.061576843;0.109366946;0.677965283;102.4497986;7.323448658;247.056427;5.063720226;0;20.66115761;14.04958725;15.70247936;0;14.04958725;22.31404877;13.22314072;0;0;0;0;14.04958725;3.651228189;0.337785929;3.465348005;4.634184361;2.989578009;0.154192522;1.133693576;98.06871033;7.805952072;247.563858;4.840536118;0.226757362;25.62358284;18.36734772;18.36734772;2.947845697;16.09977341;10.43083858;7.936507702;0;0;2.947845697;0.226757362;15.64625835
45.01932_-123.17508_173_13_187.35_ebird;3;45.01932;-123.17508;173;13;187.35;5;ebird;284.6049805;15.15127945;3.972759485;12.44767666;21.58923721;4.349304199;0.934531391;6.098763943;171.5859985;6.616792202;360.1073608;8.796323776;0.826446295;0;52.06611633;0;2.479338884;44.62809753;0;0;0;0;2.479338884;0.826446295;44.62809753;27.23689079;12.55936241;19.1237545;29.64219093;5.270953178;1.609354258;11.4608078;352.415863;6.567601204;371.5679932;9.663096428;0.226757362;0;45.80498886;2.721088409;0.90702945;50.34013748;0;0;0;0;0.90702945;0.226757362;42.4036293
45.019744_-123.084804_174_13_391.45_ebird;0;45.019744;-123.084804;174;13;391.45;5;ebird;706.1161499;2.892659426;0.990888417;2.056767702;2.754795074;1.445071101;0.108536363;0.683084309;79.86972809;8.898008347;169.4186707;1.958429456;0;13.22314072;28.0991745;4.132231236;0;4.958677769;16.52892494;32.23140335;0.826446295;0;0;0;4.132231236;1.783545971;0.472421318;1.367967963;1.64371264;1.02650547;0.083275512;0.550765753;41.27198029;9.551961899;163.3071594;1.485809684;0;15.64625835;38.77550888;7.936507702;0;3.6281178;11.79138279;19.72789192;2.494331121;0;0;0;2.947845697
45.01748_-123.17278_173_13_187.35_ebird;3;45.01748;-123.17278;173;13;187.35;5;ebird;453.9823914;48.61700821;27.17582321;30.07576942;54.1291008;6.786756992;2.930521488;21.5731144;586.036377;6.098680973;408.4238586;13.01737118;0;0;9.917355537;0;0;90.0826416;0;0;0;0;0;0;66.9421463;41.28361511;26.39695358;21.64327812;42.10939789;5.676086426;2.50260973;18.25320816;486.3330383;6.324503899;413.9156189;11.75655365;0.226757362;1.360544205;25.39682579;0;0.453514725;72.56235504;0;0;0;0;0.453514725;0.226757362;40.58956909
45.01772_-123.17056_173_13_235.35_ebird;0;45.01772;-123.17056;173;13;235.35;5;ebird;483.7354736;67.47463989;50.45593262;29.30426407;64.87014008;7.30527544;4.198497295;31.52553368;685.2457275;6.083853722;507.3510132;13.76441383;0;0;0;0;0;100;0;0;0;0;0;0;33.05784988;59.24337387;39.7761879;28.72891045;56.96459579;8.714767456;3.528112173;26.42677116;685.468811;6.071475029;493.3061218;12.25196838;0.226757362;0;2.267573595;0;0.453514725;97.05215454;0;0;0;0;0.453514725;0.226757362;53.51473999
45.01765_-123.16812_173_13_245.37_ebird;1;45.01765;-123.16812;173;13;245.37;5;ebird;318.9043884;67.89053345;48.8131752;29.60000992;55.37277222;10.8518362;3.913839579;30.60902977;803.02948;6.153991222;563.9017334;11.15646744;0;0;0;0;0;100;0;0;0;0;0;0;43.801651;67.8217392;49.17411423;29.89071465;60.53067017;6.271866798;4.054251671;30.26761055;734.6473389;6.094782352;534.2565918;12.65183926;0;0;0;0;0;100;0;0;0;0;0;0;35.60090637
45.014904_-123.478048_173_13_288.1_ebird;1;45.014904;-123.478048;173;13;288.1;6;ebird;67.08203888;1.417796731;1.028188467;0.389608264;2.134394169;0.386516541;0.057535537;0.28363058;25.34999466;8.17527771;631.9071045;4.378208637;0;0;20.66115761;0.826446295;61.15702438;8.264462471;9.090909004;0;0;0;61.15702438;0;8.264462471;8.090937614;6.638796806;2.882025719;4.767228127;1.062399745;0.38020727;3.732877493;85.90782166;8.079753876;640.2247314;4.188419342;3.854875326;0;23.12925148;1.360544205;48.07256317;18.59410477;4.081632614;0.90702945;0;0;48.07256317;3.854875326;13.60544205
45.01566_-123.17221_173_13_177.33_ebird;1;45.01566;-123.17221;173;13;177.33;5;ebird;570;50.47430038;32.72865295;25.32258034;53.0974884;4.291762829;2.709997416;20.40803337;687.97229;6.375241756;401.6274109;12.89181423;0;0;8.264462471;0;0;91.73553467;0;0;0;0;0;0;49.58677673;45.72639847;28.16484451;24.29642677;45.62586212;5.761769295;2.490768909;18.51504135;632.3006592;6.269262791;429.2104797;11.80654907;0;5.442176819;19.04761887;0.226757362;0;75.28344727;0;0;0;0;0;0;43.3106575
