Species;Distance;Detection;Int_1;Int_2;Int_3;Int_4;Int_5;RemovalInterval;Latitude;Longitude;Date;JulianDate;Time;MinutesSinceDawn;Year;Observer;Location_ID;Checklist_ID
amro;85;s;1;1;1;1;1;1;44.385253;-123.30586;17.05.2011;137;07:12:00;165;11;WDRobinson;44.385253_-123.30586;44.385253_-123.30586_137_165_11
amro;55;v;0;1;1;0;1;2;44.383446;-123.30836;17.05.2011;137;09:06:00;279;11;WDRobinson;44.383446_-123.30836;44.383446_-123.30836_137_279_11
amro;50;c;1;1;1;1;1;1;44.383453;-123.30585;17.05.2011;137;09:18:00;291;11;WDRobinson;44.383453_-123.30585;44.383453_-123.30585_137_291_11
amro;73;v;0;1;1;1;1;2;44.383453;-123.30585;17.05.2011;137;09:18:00;291;11;WDRobinson;44.383453_-123.30585;44.383453_-123.30585_137_291_11
amro;370;sv;0;1;1;1;1;2;44.381632;-123.31337;17.05.2011;137;10:10:00;343;11;WDRobinson;44.381632_-123.31337;44.381632_-123.31337_137_343_11
amro;240;s;1;1;1;1;1;1;44.379831;-123.31336;17.05.2011;137;10:36:00;369;11;WDRobinson;44.379831_-123.31336;44.379831_-123.31336_137_369_11
amro;160;s;1;1;1;1;1;1;44.379831;-123.31336;17.05.2011;137;10:36:00;369;11;WDRobinson;44.379831_-123.31336;44.379831_-123.31336_137_369_11
amro;159;s;1;1;1;1;1;1;44.385286;-123.29331;18.05.2011;138;07:15:00;169;11;WDRobinson;44.385286_-123.29331;44.385286_-123.29331_138_169_11
amro;120;s;1;1;1;1;1;1;44.383486;-123.2933;18.05.2011;138;07:27:00;181;11;WDRobinson;44.383486_-123.2933;44.383486_-123.2933_138_181_11
amro;250;s;1;1;1;1;1;1;44.381685;-123.29329;18.05.2011;138;07:41:00;195;11;WDRobinson;44.381685_-123.29329;44.381685_-123.29329_138_195_11
amro;138;s;1;0;1;1;1;1;44.379885;-123.29328;18.05.2011;138;07:54:00;208;11;WDRobinson;44.379885_-123.29328;44.379885_-123.29328_138_208_11
amro;110;s;1;0;1;1;1;1;44.379885;-123.29328;18.05.2011;138;07:54:00;208;11;WDRobinson;44.379885_-123.29328;44.379885_-123.29328_138_208_11
amro;31;s;1;1;1;1;1;1;44.378084;-123.29327;18.05.2011;138;08:07:00;221;11;WDRobinson;44.378084_-123.29327;44.378084_-123.29327_138_221_11
amro;87;v;1;1;1;1;1;1;44.378078;-123.29578;18.05.2011;138;08:23:00;237;11;WDRobinson;44.378078_-123.29578;44.378078_-123.29578_138_237_11
amro;93;v;1;1;1;1;1;1;44.378078;-123.29578;18.05.2011;138;08:23:00;237;11;WDRobinson;44.378078_-123.29578;44.378078_-123.29578_138_237_11
amro;112;s;1;1;1;1;1;1;44.379878;-123.29579;18.05.2011;138;08:37:00;251;11;WDRobinson;44.379878_-123.29579;44.379878_-123.29579_138_251_11
amro;170;s;1;1;1;1;1;1;44.379878;-123.29579;18.05.2011;138;08:37:00;251;11;WDRobinson;44.379878_-123.29579;44.379878_-123.29579_138_251_11
amro;58;v;1;1;1;1;1;1;44.379878;-123.29579;18.05.2011;138;08:37:00;251;11;WDRobinson;44.379878_-123.29579;44.379878_-123.29579_138_251_11
amro;120;s;1;1;1;1;1;1;44.381679;-123.2958;18.05.2011;138;08:50:00;264;11;WDRobinson;44.381679_-123.2958;44.381679_-123.2958_138_264_11
amro;30;v;1;1;1;1;1;1;44.383479;-123.29581;18.05.2011;138;09:03:00;277;11;WDRobinson;44.383479_-123.29581;44.383479_-123.29581_138_277_11
amro;32;v;1;1;1;1;1;1;44.383479;-123.29581;18.05.2011;138;09:03:00;277;11;WDRobinson;44.383479_-123.29581;44.383479_-123.29581_138_277_11
amro;60;v;0;1;1;1;1;2;44.383479;-123.29581;18.05.2011;138;09:03:00;277;11;WDRobinson;44.383479_-123.29581;44.383479_-123.29581_138_277_11
amro;33;v;1;1;1;1;1;1;44.383479;-123.29581;18.05.2011;138;09:03:00;277;11;WDRobinson;44.383479_-123.29581;44.383479_-123.29581_138_277_11
amro;60;s;1;1;1;1;1;1;44.38528;-123.29582;18.05.2011;138;09:19:00;293;11;WDRobinson;44.38528_-123.29582;44.38528_-123.29582_138_293_11
amro;30;c;0;0;1;1;0;3;44.38528;-123.29582;18.05.2011;138;09:19:00;293;11;WDRobinson;44.38528_-123.29582;44.38528_-123.29582_138_293_11
amro;25;s;1;1;1;1;1;1;44.38528;-123.29582;18.05.2011;138;09:19:00;293;11;WDRobinson;44.38528_-123.29582;44.38528_-123.29582_138_293_11
amro;15;c;0;1;0;1;1;2;44.38708;-123.29583;18.05.2011;138;09:35:00;309;11;WDRobinson;44.38708_-123.29583;44.38708_-123.29583_138_309_11
amro;50;v;1;1;1;0;0;1;44.388881;-123.29584;18.05.2011;138;09:50:00;324;11;WDRobinson;44.388881_-123.29584;44.388881_-123.29584_138_324_11
amro;28;v;1;1;1;1;1;1;44.421258;-123.30856;19.05.2011;139;07:03:00;159;11;WDRobinson;44.421258_-123.30856;44.421258_-123.30856_139_159_11
amro;79;v;0;0;0;0;1;5;44.421258;-123.30856;19.05.2011;139;07:03:00;159;11;WDRobinson;44.421258_-123.30856;44.421258_-123.30856_139_159_11
amro;34;v;1;1;1;1;1;1;44.419457;-123.30855;19.05.2011;139;07:14:00;170;11;WDRobinson;44.419457_-123.30855;44.419457_-123.30855_139_170_11
