Location_ID;Checklist_ID;Latitude.x;Longitude.x;Date;JulianDate;Time;MinutesSinceDawn;Year;Observer;Count;Occur;Latitude.y;Longitude.y;DistanceToRiver;CanopyCover_165;ConiferCover_165;HardwoodCover_165;ShrubCover_165;OakCover_165;DiameterDiversityIndex_165;TreeBasalArea_165;DensityLiveTrees_165;CompoundTopographicIndex_mean165;Elevation_mean165;Slope_mean165;TemperateFreshwaterMeadowMarsh_165;CultivatedCropland_165;PastureHay_165;WoodyAgriculture_165;TemperateGrasslandShrublandMeadow_165;TemperateForest_165;DevelopedOpenSpace_165;DevelopedLowIntensity_165;DevelopedMediumIntensity_165;DevelopedHighIntensity_165;UplandPrairieSavannah_165;WetPrairie_165;Oaks_165;CanopyCover_315;ConiferCover_315;HardwoodCover_315;ShrubCover_315;OakCover_315;DiameterDiversityIndex_315;TreeBasalArea_315;DensityLiveTrees_315;CompoundTopographicIndex_mean315;Elevation_mean315;Slope_mean315;TemperateFreshwaterMeadowMarsh_315;CultivatedCropland_315;PastureHay_315;WoodyAgriculture_315;TemperateGrasslandShrublandMeadow_315;TemperateForest_315;DevelopedOpenSpace_315;DevelopedLowIntensity_315;DevelopedMediumIntensity_315;DevelopedHighIntensity_315;UplandPrairieSavannah_315;WetPrairie_315;Oaks_315
44.28091_-123.65204;44.28091_-123.65204_155_214_12;44.28091;-123.65204;06.03.2012;155;07:44:00;214;12;WDRobinson;1;1;44.28091;-123.65204;150;29.1991024;17.12771416;16.09230042;20.28673172;0;1.15560329;10.1385498;444.9618835;7.634702206;405.3664856;7.771866322;0;0;22.31404877;0;0.826446295;57.85123825;19.00826454;0;0;0;0.826446295;0;0.826446295;37.56042099;25.48561859;18.55366898;22.82214355;0.12030068;1.581379414;14.06502247;650.4989014;7.686670303;431.9710999;7.231820583;1.8140589;0.680272102;15.8730154;0;3.174603224;69.38775635;9.07029438;0;0;0;3.174603224;1.8140589;0.226757362
44.28422_-123.58285;44.28422_-123.58285_158_209_12;44.28422;-123.58285;06.06.2012;158;07:37:00;209;12;WDRobinson;0;0;44.28422;-123.58285;30;61.66790771;51.5718689;17.42682648;31.86094093;0;3.007517338;27.39066315;626.3510132;6.463683128;2578.183594;24.71610641;0;0;0;0;0;61.15702438;14.87603283;0;0;0;0;0;0;67.04916382;61.38663101;11.17938709;35.19064331;0.038366668;3.45777607;33.64620972;665.6577759;6.256376743;2616.079346;22.66713905;0;0;0;0;0;61.67800522;12.01814079;0;0;0;0;0;0
44.28537_-123.72074;44.28537_-123.72074_155_432_12;44.28537;-123.72074;06.03.2012;155;11:22:00;432;12;WDRobinson;2;1;44.28537;-123.72074;30;13.34087372;8.059659958;6.846838951;12.8001585;0;0.694938004;5.701434612;249.7706146;8.867860794;244.6131134;2.261534929;0;0.826446295;38.84297562;0;5.785123825;30.57851219;23.96694183;0;0;0;5.785123825;0;0;23.76285362;14.73463821;12.90788364;17.28763771;0;1.241348267;10.64746571;328.4942627;7.920528412;276.7647705;7.287403584;0;0.226757362;39.45578384;0;1.587301612;41.04308319;14.96598625;0;0;0;1.587301612;0;0
44.28561_-123.59009;44.28561_-123.59009_158_201_12;44.28561;-123.59009;06.06.2012;158;07:29:00;201;12;WDRobinson;0;0;44.28561;-123.59009;60;65.34374237;59.36019135;12.50406361;44.00288773;0;3.700413227;41.25098038;636.4241333;7.130301952;2363.536377;22.46142197;0;0;0;0;0;64.4628067;9.917355537;0;0;0;0;0;0;64.45092773;58.13134766;11.98128891;38.91864014;0.057914514;3.441748857;37.83886719;675.9832153;6.621211529;2424.355225;21.82596397;0;0;0;0;0;72.56235504;14.28571415;0;0;0;0;0;0
44.28643_-123.65518;44.28643_-123.65518_155_207_12;44.28643;-123.65518;06.03.2012;155;07:37:00;207;12;WDRobinson;0;0;44.28643;-123.65518;90;26.51392937;18.47346687;13.50708008;19.13476181;0;1.464029789;12.40154839;302.3407593;7.450339317;381.704834;6.406138897;0;0;50.41322327;0;0;34.71074295;14.87603283;0;0;0;0;0;0;40.43912506;31.39536667;14.45048809;26.6002903;0;2.005601645;17.43670654;510.5415955;7.656200886;397.7672729;7.449273586;0;0.226757362;30.15872955;0;0;62.13151932;7.482993126;0;0;0;0;0;0
44.28653_-123.22697;44.28653_-123.22697_144_344_12;44.28653;-123.22697;5/23/2012;144;10:03:00;344;12;WDRobinson;1;1;44.28653;-123.22697;30;0;0;0;0;0;0;0;0;11.17728329;290.0265198;0.18279168;0;88.42974854;0;0.826446295;0;0;0.826446295;9.917355537;0;0;0;0;0;0;0;0;0;0;0;0;0;11.09356689;290.4016724;0.208011836;0;78.45805359;14.28571415;1.587301612;0;0;1.133786798;4.53514719;0;0;0;0;0
44.28746_-123.60065;44.28746_-123.60065_158_189_12;44.28746;-123.60065;06.06.2012;158;07:17:00;189;12;WDRobinson;0;0;44.28746;-123.60065;212.1320343;57.25910568;45.72355652;23.53896713;38.97527695;0;3.451443911;31.4142189;507.2702332;6.099897385;2288.541992;18.15159416;0;0;0;0;0;76.8595047;23.1404953;0;0;0;0;0;0;63.96601486;55.37118149;16.57870293;48.63201141;0;3.872507334;37.42616653;550.9356079;6.548972607;2257.327881;17.86718178;0;0;0;0;0;85.26077271;13.8321991;0;0;0;0;0;0
44.2875_-123.52252;44.2875_-123.52252_191_249_12;44.2875;-123.52252;07.09.2012;191;08:26:00;249;12;WDRobinson;0;0;44.2875;-123.52252;94.86833191;66.75105286;64.118927;9.239642143;41.81165314;0;3.726103306;40.6750412;614.519104;5.171761036;2337.487305;28.35597038;0;0;0;0;0;86.7768631;13.22314072;0;0;0;0;0;0;73.677742;69.37875366;14.16143227;45.13383102;0;4.15740633;43.18159103;751.5656738;5.466104984;2310.06543;26.94732285;0;0;0;0;0;87.5283432;8.843537331;0;0;0;0;0;0
44.28751_-123.38657;44.28751_-123.38657_156_290_12;44.28751;-123.38657;06.04.2012;156;08:58:00;290;12;WDRobinson;0;0;44.28751;-123.38657;60;65.31808472;58.88027573;15.64575768;35.81305695;2.316367865;2.858128071;24.94292641;803.1028442;6.214528561;772.7214355;15.3182745;0;0;0;0;0;72.72727203;9.917355537;0;0.826446295;0;0;0;4.958677769;60.84721375;56.27302551;11.02622318;28.55797958;2.05495739;2.639528513;24.53995705;735.5764771;6.408987999;779.883667;13.74992275;0;0;0;0;3.174603224;58.73015976;9.297052383;0;1.587301612;0;3.174603224;0;9.977324486
44.28763_-123.59055;44.28763_-123.59055_158_171_12;44.28763;-123.59055;06.06.2012;158;06:59:00;171;12;WDRobinson;0;0;44.28763;-123.59055;67.08203888;65.59198761;48.49885941;25.69651985;41.92359543;0;3.534467697;36.47477341;534.1589966;6.339065075;2144.533447;22.06929779;0;0;0;0;0;88.42974854;11.57024765;0;0;0;0;0;0;63.76195908;47.98475647;23.33448029;45.78811646;0;3.518940449;36.52558136;607.1428833;6.352698803;2199.129395;21.35050774;0;0;0;0;0;82.53968048;12.24489784;0;0;0;0;0;0
44.28786_-123.26524;44.28786_-123.26524_145_188_12;44.28786;-123.26524;5/24/2012;145;07:26:00;188;12;WDRobinson;3;1;44.28786;-123.26524;150;0;0;0;0;0;0;0;0;9.775784492;291.762146;0.504130006;0;21.48760414;55.37190247;0;0;0;0;0;23.1404953;0;0;0;0;1.641317248;0.885032415;0.917337179;1.086403012;0.303987533;0.098025396;0.782894969;26.59004021;9.957872391;291.8432007;0.412758589;0;25.85033989;60.31745911;1.133786798;0;1.8140589;0;2.947845697;7.936507702;0;0;0;0
44.28798_-123.60529;44.28798_-123.60529_158_232_12;44.28798;-123.60529;06.06.2012;158;08:00:00;232;12;WDRobinson;0;0;44.28798;-123.60529;0;63.44325638;43.0409317;30.11352921;59.9569397;0;4.35023737;40.15772247;489.370636;6.834073067;1956.351685;19.95458221;0;0;0;0;0;90.0826416;9.917355537;0;0;0;0;0;0;68.86314392;55.21676636;21.9977169;55.5056076;0;4.68553257;43.26522064;534.7672729;6.5582304;1996.667969;19.63665962;0;0;0;0;0;93.87754822;6.122448921;0;0;0;0;0;0
44.28806_-123.7225;44.28806_-123.7225_155_291_12;44.28806;-123.7225;06.03.2012;155;09:01:00;291;12;WDRobinson;0;0;44.28806;-123.7225;240;16.12552261;11.02357197;8.938541412;9.685712814;0;0.788942158;6.565200806;184.3500671;7.163739681;270.3762512;6.79013586;0;0;57.02479172;0;0;19.00826454;23.96694183;0;0;0;0;0;0;21.65849113;11.60644913;13.50180817;15.33331108;0;1.058436751;8.805924416;277.1207275;7.840499878;274.3279114;7.156919956;0;0;47.39229202;0;1.360544205;37.64172363;13.60544205;0;0;0;1.360544205;0;0
44.28836_-123.57851;44.28836_-123.57851_158_155_12;44.28836;-123.57851;06.06.2012;158;06:43:00;155;12;WDRobinson;0;0;44.28836;-123.57851;60;63.97062302;53.50716019;17.63420868;29.94255257;0;3.190712452;32.42677689;534.5073853;5.765520573;1985.496338;25.58251381;0;0;0;0;0;81.8181839;18.18181801;0;0;0;0;0;0;68.71443939;59.13972092;17.92991638;39.15676498;0;3.648269176;36.03480911;584.447937;5.841634274;2032.852417;25.91439438;0;0;0;0;0;89.79592133;10.20408154;0;0;0;0;0;0
44.28858_-123.71249;44.28858_-123.71249_155_284_12;44.28858;-123.71249;06.03.2012;155;08:54:00;284;12;WDRobinson;0;0;44.28858;-123.71249;30;34.35871124;22.30283356;18.77763176;26.28626442;0;1.919118166;14.39941692;325.2194519;8.0620718;304.5133667;11.06431389;0;0;26.44628143;0;0;61.98347092;11.57024765;0;0;0;0;0;0;39.1205864;26.61584473;21.27971649;24.28204727;0;2.216995716;17.77113533;370.2469177;7.567294598;349.5849304;11.62278843;0;0;34.92063522;0;0;60.31745911;4.761904716;0;0;0;0;0;0
44.28872_-123.70361;44.28872_-123.70361_155_277_12;44.28872;-123.70361;06.03.2012;155;08:47:00;277;12;WDRobinson;1;1;44.28872;-123.70361;30;9.418591499;5.855110645;4.229324818;13.96815395;0;0.383954555;1.760778427;185.4292297;8.468512535;270.5394287;2.952497482;0;0;65.28925323;0;0;28.92561913;5.785123825;0;0;0;0;0;0;28.74977112;19.78298569;14.03351212;24.26496315;0.183190018;1.559272766;11.51332474;389.9691162;8.090126991;292.0878296;6.668625355;0;0.453514725;40.81632614;0;0;53.28798294;5.442176819;0;0;0;0;0;0
